Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock FL,Shock RR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts),
1.200,6139,77.2,183.4,12.0,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,63.05,3.13,0.01,0.01,4.21,1.67,1.89,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.02,3.97,0.01,0.01,4.31,1.71,1.93,
1.300,6212,77.2,183.4,11.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,63.40,3.13,0.01,0.01,4.21,1.67,1.93,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.04,3.97,0.01,0.01,4.31,1.71,1.98,
1.400,6198,77.2,183.4,11.7,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,64.27,3.13,0.01,0.01,4.20,1.67,1.95,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.07,3.97,0.01,0.01,4.30,1.71,1.99,
1.500,6222,77.2,183.4,11.7,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,64.34,3.13,0.01,0.01,4.19,1.67,1.86,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.07,3.97,0.01,0.01,4.29,1.71,1.91,
1.600,6054,77.2,183.4,12.6,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,62.55,3.13,0.01,0.01,4.33,1.66,1.91,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.00,3.97,0.01,0.01,4.43,1.70,1.96,
1.700,5927,77.2,183.4,15.5,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.90,3.12,0.01,0.01,4.40,1.67,1.99,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.90,3.96,0.01,0.01,4.50,1.71,2.04,
1.800,5847,77.2,183.4,16.6,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.63,3.12,0.01,0.01,4.45,1.66,1.93,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.89,3.96,0.01,0.01,4.55,1.70,1.98,
1.901,5813,77.2,183.4,19.5,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,59.32,3.12,0.01,0.01,4.32,1.67,1.93,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.87,3.96,0.01,0.01,4.42,1.71,1.97,
2.000,5793,77.2,183.4,19.6,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,57.50,3.12,0.01,0.01,4.38,1.67,1.95,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.80,3.96,0.01,0.01,4.49,1.72,2.00,
2.100,5649,77.2,183.4,20.1,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,57.40,3.12,0.01,0.01,4.48,1.67,1.99,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.80,3.96,0.01,0.01,4.59,1.71,2.04,
2.200,5590,77.2,183.4,20.5,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,55.40,3.12,0.01,0.01,4.50,1.67,2.01,0.0,0.0,1.2,0.0,0.00,-1.00,0.01,2.72,3.96,0.01,0.01,4.61,1.72,2.05,
2.300,4793,77.2,183.4,21.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,45.25,3.11,0.01,0.01,4.56,1.68,2.04,0.0,0.0,1.2,0.0,0.00,-1.00,0.01,2.31,3.95,0.01,0.01,4.67,1.72,2.09,
2.400,4058,77.2,183.4,21.5,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,35.80,3.11,0.01,0.01,4.72,1.70,2.14,0.0,0.0,2.1,0.0,0.00,-1.00,0.01,1.93,3.94,0.01,0.01,4.84,1.74,2.19,
2.500,3792,77.2,183.4,21.2,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,31.70,3.10,0.01,0.01,4.73,1.71,2.14,0.0,0.0,2.9,0.0,0.00,-1.00,0.01,1.77,3.94,0.01,0.01,4.85,1.75,2.19,
2.600,3637,77.2,183.4,20.9,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,29.65,3.10,0.01,0.01,4.73,1.71,2.14,0.0,0.0,4.4,0.0,0.00,-1.00,0.01,1.69,3.94,0.01,0.01,4.85,1.75,2.19,
2.700,3454,77.2,183.4,22.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,27.84,3.09,0.01,0.01,4.73,1.69,2.14,0.0,0.0,5.1,0.0,0.00,-1.00,0.01,1.61,3.92,0.01,0.01,4.84,1.73,2.19,
2.800,2542,77.2,183.4,23.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,19.57,3.07,0.01,0.01,4.75,1.70,2.14,0.0,0.0,6.8,0.0,0.00,-1.00,0.01,1.28,3.90,0.01,0.01,4.86,1.74,2.19,
2.900,2588,77.2,183.4,25.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,17.97,3.11,0.01,0.01,4.72,1.68,2.13,0.0,0.0,7.1,0.0,0.00,-1.00,0.01,1.22,3.95,0.01,0.01,4.83,1.72,2.19,
3.000,3050,77.2,183.4,25.1,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,22.72,3.13,0.01,0.01,4.72,1.69,2.08,0.0,0.0,7.8,0.0,0.00,-1.00,0.01,1.41,3.98,0.01,0.01,4.83,1.73,2.13,
3.100,2974,77.2,183.4,23.1,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,22.02,3.09,0.01,0.01,4.74,1.70,2.14,0.0,0.0,8.3,0.0,0.00,-1.00,0.01,1.38,3.92,0.01,0.01,4.85,1.74,2.19,
3.200,3448,77.2,183.4,21.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,27.05,3.10,0.01,0.01,4.66,1.67,2.14,0.0,0.0,8.9,0.0,0.00,-1.00,0.01,1.58,3.94,0.01,0.01,4.77,1.71,2.19,
3.300,3425,77.2,183.4,9.7,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,27.42,3.11,0.01,0.01,4.73,1.67,2.14,0.0,0.0,9.8,0.0,0.00,-1.00,0.01,1.60,3.95,0.01,0.01,4.85,1.71,2.19,
3.400,3804,77.2,183.4,0.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,31.52,3.11,0.01,0.01,4.70,1.66,2.14,0.0,0.0,10.1,0.0,0.00,-1.00,0.01,1.76,3.94,0.01,0.01,4.81,1.70,2.19,
3.500,3902,77.2,183.4,11.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,33.65,3.10,0.01,0.01,4.72,1.66,2.12,0.0,0.0,10.7,0.0,0.00,-1.00,0.01,1.85,3.93,0.01,0.01,4.83,1.70,2.18,
3.601,4060,77.2,183.4,12.4,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,34.77,3.11,0.01,0.01,4.74,1.66,2.14,0.0,0.0,11.1,0.0,0.00,-1.00,0.01,1.89,3.95,0.01,0.01,4.86,1.70,2.19,
3.700,4074,77.2,183.4,12.9,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,35.95,3.11,0.01,0.01,4.78,1.66,2.14,0.0,0.0,11.1,0.0,0.00,-1.00,0.01,1.94,3.94,0.01,0.01,4.89,1.70,2.19,
3.800,4244,77.2,183.4,12.8,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,38.13,3.11,0.01,0.01,4.75,1.65,2.14,0.0,0.0,11.4,0.0,0.00,-1.00,0.01,2.03,3.95,0.01,0.01,4.86,1.69,2.19,
3.900,4177,77.2,183.4,13.1,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,36.80,3.10,0.01,0.01,4.75,1.64,2.14,0.0,0.0,11.4,0.0,0.00,-1.00,0.01,1.97,3.94,0.01,0.01,4.86,1.68,2.19,
4.000,4243,77.2,183.4,12.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,37.92,3.11,0.01,0.01,4.66,1.64,2.11,0.0,0.0,11.5,0.0,0.00,-1.00,0.01,2.02,3.95,0.01,0.01,4.78,1.68,2.16,
4.100,4234,77.2,183.4,3.7,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,37.59,3.11,0.01,0.01,4.70,1.64,2.14,0.0,0.0,11.6,0.0,0.00,-1.00,0.01,2.00,3.95,0.01,0.01,4.81,1.68,2.19,
4.200,4271,77.2,183.4,2.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,38.25,3.11,0.01,0.01,4.58,1.65,2.09,0.0,0.0,11.7,0.0,0.00,-1.00,0.01,2.03,3.95,0.01,0.01,4.69,1.69,2.15,
4.300,4608,77.2,183.4,35.1,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,42.63,3.14,0.01,0.01,4.69,1.64,2.12,0.0,0.0,11.9,0.0,0.00,-1.00,0.01,2.21,3.98,0.01,0.01,4.80,1.68,2.18,
4.400,4595,77.2,183.4,47.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,41.50,3.10,0.01,0.01,4.72,1.64,2.14,0.0,0.0,12.6,0.0,0.00,-1.00,0.01,2.16,3.93,0.01,0.01,4.83,1.68,2.19,
4.501,4792,77.2,183.4,48.2,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,43.72,3.10,0.01,0.01,4.66,1.64,2.14,0.0,0.0,12.9,0.0,0.00,-1.00,0.01,2.25,3.93,0.01,0.01,4.78,1.68,2.19,
4.600,4762,77.2,183.4,43.0,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,44.09,3.12,0.01,0.01,4.62,1.66,2.10,0.0,0.0,13.2,0.0,0.00,-1.00,0.01,2.26,3.96,0.01,0.01,4.73,1.70,2.15,
4.700,5104,77.2,183.4,41.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,47.70,3.11,0.01,0.01,4.57,1.65,2.09,0.0,0.0,13.6,0.0,0.00,-1.00,0.01,2.41,3.95,0.01,0.01,4.68,1.69,2.14,
4.800,5017,77.2,183.4,51.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,47.67,3.11,0.01,0.01,4.55,1.66,2.01,0.0,0.0,13.7,0.0,0.00,-1.00,0.01,2.41,3.95,0.01,0.01,4.66,1.70,2.06,
4.900,5400,77.2,183.4,81.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,51.70,3.12,0.01,0.01,4.39,1.64,1.96,0.0,0.0,14.1,0.0,0.00,-1.00,0.01,2.57,3.96,0.01,0.01,4.50,1.68,2.01,
5.001,5148,77.2,183.4,99.4,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,49.50,3.10,0.01,0.01,4.58,1.64,2.04,0.0,0.0,14.7,0.0,0.00,-1.00,0.01,2.48,3.94,0.01,0.01,4.69,1.68,2.09,
5.100,5950,77.2,183.4,98.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,58.20,3.12,0.01,0.01,4.36,1.62,2.00,0.0,0.0,15.4,0.0,0.00,-1.00,0.01,2.83,3.95,0.01,0.01,4.47,1.65,2.05,
5.200,5854,77.2,183.4,98.7,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,55.82,3.08,0.01,0.01,4.48,1.64,2.03,0.0,0.0,16.3,0.0,0.00,-1.00,0.01,2.73,3.91,0.01,0.01,4.59,1.68,2.08,
5.300,6314,77.2,183.4,99.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,62.34,3.08,0.01,0.01,4.29,1.65,1.92,0.0,0.0,16.9,0.0,0.00,-1.00,0.01,2.99,3.90,0.01,0.01,4.39,1.69,1.97,
5.401,6436,77.2,183.4,99.5,11.40,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,64.55,3.11,0.01,0.01,4.25,1.66,1.91,0.0,0.0,17.6,0.0,0.00,-1.00,0.01,3.08,3.94,0.01,0.01,4.35,1.70,1.96,
5.500,6942,77.2,183.4,99.6,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,70.52,3.09,0.01,0.01,4.20,1.64,2.10,0.0,0.0,18.7,0.0,0.00,-1.00,0.01,3.32,3.92,0.01,0.01,4.30,1.68,2.15,
5.601,7149,77.2,183.4,99.3,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,70.97,3.08,0.01,0.01,4.20,1.64,2.06,0.0,0.0,19.4,0.0,0.00,-1.00,0.01,3.34,3.91,0.01,0.01,4.30,1.68,2.11,
5.700,7720,77.2,183.4,99.7,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,72.59,3.09,0.01,0.01,4.18,1.66,2.03,0.0,0.0,20.8,0.0,0.00,-1.00,0.01,3.40,3.92,0.01,0.01,4.28,1.70,2.08,
5.800,7982,77.2,183.4,98.6,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,73.05,3.08,0.01,0.01,4.11,1.67,1.98,0.0,0.0,21.9,0.0,0.00,-1.00,0.01,3.42,3.90,0.01,0.01,4.21,1.71,2.03,
5.900,8555,77.2,183.4,92.5,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,73.34,3.08,0.01,0.01,4.35,1.65,2.01,0.0,0.0,23.0,0.0,0.00,-1.00,0.01,3.43,3.91,0.01,0.01,4.45,1.69,2.06,
6.000,8969,77.2,183.4,0.0,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,74.57,3.07,0.01,0.01,4.36,1.64,2.04,0.0,0.0,24.4,0.0,0.00,-1.00,0.01,3.48,3.89,0.01,0.01,4.47,1.68,2.09,
6.100,8619,77.2,183.4,0.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,74.72,3.07,0.01,0.01,4.28,1.66,1.84,0.0,0.0,24.6,0.0,0.00,-1.00,0.01,3.49,3.90,0.01,0.01,4.39,1.70,1.89,
6.200,8441,77.2,183.4,7.0,11.40,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,74.42,3.16,0.01,0.01,4.51,1.64,1.80,0.0,0.0,24.3,0.0,0.00,-1.00,0.01,3.48,4.00,0.01,0.01,4.62,1.68,1.85,
6.301,8717,77.2,183.4,6.1,11.40,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,74.40,3.14,0.01,0.01,4.52,1.65,1.83,0.0,0.0,23.8,0.0,0.00,-1.00,0.01,3.48,3.98,0.01,0.01,4.63,1.69,1.88,
6.400,8401,77.2,183.4,5.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,74.27,3.15,0.01,0.01,4.43,1.65,1.85,0.0,0.0,23.3,0.0,0.00,-1.00,0.01,3.47,4.00,0.01,0.01,4.53,1.69,1.90,
6.500,8285,77.2,183.4,6.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,74.55,3.14,0.01,0.01,4.40,1.63,1.95,0.0,0.0,22.3,0.0,0.00,-1.00,0.01,3.48,3.99,0.01,0.01,4.51,1.67,2.00,
6.600,7932,77.2,183.4,8.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,73.70,3.01,0.01,0.01,4.39,1.61,1.89,0.0,0.0,21.7,0.0,0.00,-1.00,0.01,3.45,3.83,0.01,0.01,4.50,1.65,1.94,
6.700,7750,77.2,183.4,7.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,73.00,3.15,0.01,0.01,4.21,1.62,1.90,0.0,0.0,21.1,0.0,0.00,-1.00,0.01,3.42,4.00,0.01,0.01,4.31,1.66,1.95,
6.800,7490,77.2,183.4,7.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,72.45,3.00,0.01,0.01,4.19,1.63,1.95,0.0,0.0,20.4,0.0,0.00,-1.00,0.01,3.40,3.80,0.01,0.01,4.29,1.67,2.00,
6.900,7273,77.2,183.4,5.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.63,2.95,0.01,0.01,4.24,1.64,2.02,0.0,0.0,19.9,0.0,0.00,-1.00,0.01,3.25,3.75,0.01,0.01,4.34,1.68,2.07,
7.000,6997,77.2,183.4,2.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,65.47,2.99,0.01,0.01,4.28,1.64,2.00,0.0,0.0,19.2,0.0,0.00,-1.00,0.01,3.12,3.80,0.01,0.01,4.39,1.68,2.05,
7.101,6768,77.2,183.4,0.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,61.88,3.10,0.01,0.01,4.49,1.63,2.01,0.0,0.0,18.8,0.0,0.00,-1.00,0.01,2.98,3.94,0.01,0.01,4.59,1.67,2.06,
7.200,7013,77.2,183.4,5.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,62.15,3.13,0.01,0.01,4.11,1.64,2.01,0.0,0.0,18.4,0.0,0.00,-1.00,0.01,2.99,3.97,0.01,0.01,4.21,1.68,2.06,
7.301,6756,77.2,183.4,11.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.95,3.13,0.01,0.01,4.07,1.63,1.89,0.0,0.0,18.2,0.0,0.00,-1.00,0.01,2.90,3.97,0.01,0.01,4.17,1.67,1.94,
7.400,6384,77.2,183.4,11.2,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,58.15,3.15,0.01,0.01,4.23,1.64,1.89,0.0,0.0,17.9,0.0,0.00,-1.00,0.01,2.83,4.00,0.01,0.01,4.33,1.68,1.93,
7.500,6411,77.2,183.4,8.2,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,56.38,3.14,0.01,0.01,4.50,1.65,2.04,0.0,0.0,17.6,0.0,0.00,-1.00,0.01,2.76,3.98,0.01,0.01,4.61,1.69,2.09,
7.600,6619,77.2,183.4,7.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.17,3.15,0.01,0.01,4.17,1.65,2.00,0.0,0.0,17.5,0.0,0.00,-1.00,0.01,2.87,4.00,0.01,0.01,4.27,1.69,2.05,
7.700,6376,77.2,183.4,12.6,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.57,3.14,0.01,0.01,4.25,1.64,1.87,0.0,0.0,17.1,0.0,0.00,-1.00,0.01,2.88,3.98,0.01,0.01,4.35,1.68,1.91,
7.800,6337,77.2,183.4,14.5,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,60.80,3.14,0.01,0.01,4.22,1.64,1.89,0.0,0.0,17.1,0.0,0.00,-1.00,0.01,2.93,3.98,0.01,0.01,4.33,1.68,1.94,
7.900,6394,77.2,183.4,18.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,61.32,3.14,0.01,0.01,4.18,1.64,1.85,0.0,0.0,16.9,0.0,0.00,-1.00,0.01,2.95,3.98,0.01,0.01,4.28,1.68,1.90,
8.001,6561,77.2,183.4,22.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,62.07,3.14,0.01,0.01,4.38,1.64,1.87,0.0,0.0,16.9,0.0,0.00,-1.00,0.01,2.98,3.98,0.01,0.01,4.49,1.68,1.91,
8.102,6346,77.2,183.4,26.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,64.45,3.13,0.01,0.01,4.42,1.64,1.93,0.0,0.0,17.4,0.0,0.00,-1.00,0.01,3.08,3.97,0.01,0.01,4.52,1.68,1.98,
8.200,6342,77.2,183.4,22.3,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,62.07,3.09,0.01,0.01,4.25,1.66,1.94,0.0,0.0,17.1,0.0,0.00,-1.00,0.01,2.98,3.93,0.01,0.01,4.35,1.70,1.98,
8.301,6479,77.2,183.4,21.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,64.70,3.12,0.01,0.01,4.33,1.66,1.96,0.0,0.0,17.5,0.0,0.00,-1.00,0.01,3.09,3.96,0.01,0.01,4.44,1.70,2.01,
8.400,6486,77.2,183.4,21.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,61.22,3.13,0.01,0.01,4.17,1.67,1.87,0.0,0.0,17.9,0.0,0.00,-1.00,0.01,2.95,3.97,0.01,0.01,4.27,1.71,1.91,
8.500,6636,77.2,183.4,19.7,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,66.59,3.12,0.01,0.01,4.23,1.66,1.91,0.0,0.0,17.9,0.0,0.00,-1.00,0.01,3.16,3.95,0.01,0.01,4.33,1.70,1.96,
8.600,6724,77.2,183.4,14.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.07,3.14,0.01,0.01,4.14,1.65,1.90,0.0,0.0,18.2,0.0,0.00,-1.00,0.01,3.22,3.99,0.01,0.01,4.24,1.69,1.94,
8.701,6778,77.2,183.4,19.2,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.00,3.11,0.01,0.01,4.24,1.66,2.09,0.0,0.0,18.3,0.0,0.00,-1.00,0.01,3.22,3.95,0.01,0.01,4.34,1.70,2.14,
8.800,6831,77.2,183.4,16.4,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.65,3.11,0.01,0.01,4.29,1.65,2.10,0.0,0.0,18.3,0.0,0.00,-1.00,0.01,3.25,3.95,0.01,0.01,4.39,1.69,2.15,
8.900,6787,77.2,183.4,19.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,67.50,3.14,0.01,0.01,4.17,1.65,1.98,0.0,0.0,18.7,0.0,0.00,-1.00,0.01,3.20,3.99,0.01,0.01,4.27,1.69,2.03,
9.000,6999,77.2,183.4,16.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,70.97,3.11,0.01,0.01,4.06,1.64,2.01,0.0,0.0,19.0,0.0,0.00,-1.00,0.01,3.34,3.95,0.01,0.01,4.16,1.68,2.06,
9.100,7043,77.2,183.4,15.8,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,70.95,3.09,0.01,0.01,4.08,1.67,2.05,0.0,0.0,19.1,0.0,0.00,-1.00,0.01,3.34,3.93,0.01,0.01,4.18,1.71,2.10,
9.200,7156,77.2,183.4,6.0,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,70.34,3.14,0.01,0.01,4.20,1.66,2.04,0.0,0.0,19.6,0.0,0.00,-1.00,0.01,3.31,3.98,0.01,0.01,4.30,1.70,2.09,
9.300,7170,77.2,183.4,0.0,11.50,530.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,71.50,3.12,0.01,0.01,4.16,1.65,2.01,0.0,0.0,19.5,0.0,0.00,-1.00,0.01,3.36,3.96,0.01,0.01,4.26,1.69,2.05,
