Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock FL,Shock RR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts)
0.999,4734,84.4,179.8,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.45,0.01,0.01,0.01,0.01,1.62,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.66,0.04
1.099,4819,84.4,179.8,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.82,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.25,0.01,0.01,0.01,0.01,1.67,0.04
1.199,4749,84.4,179.8,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.25,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.67,0.04
1.299,4839,84.4,179.8,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.34,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.67,0.04
1.4,4769,84.4,179.8,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.63,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.67,0.04
1.499,4718,84.4,179.8,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.97,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.67,0.04
1.599,4738,84.4,179.8,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.17,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.67,0.04
1.699,4757,84.4,179.8,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.42,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.67,0.04
1.799,4715,84.4,179.8,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
1.899,4799,84.4,179.8,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,44.02,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.26,0.01,0.01,0.01,0.01,1.68,0.04
1.999,4772,84.4,179.8,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.7,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.25,0.01,0.01,0.01,0.01,1.68,0.04
2.099,4745,84.4,179.8,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.5,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.68,0.04
2.199,4832,84.4,179.8,11.8,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.38,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.68,0.04
2.299,4770,84.4,179.8,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.92,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.26,0.01,0.01,0.01,0.01,1.68,0.04
2.399,4799,84.4,179.8,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.4,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.68,0.04
2.499,4735,84.4,179.8,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.65,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.68,0.04
2.599,4704,84.4,181.4,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.38,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
2.699,4758,84.4,179.8,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.65,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.68,0.04
2.799,4779,84.4,179.8,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.63,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.25,0.01,0.01,0.01,0.01,1.68,0.04
2.899,4820,84.4,181.4,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,44.38,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.28,0.01,0.01,0.01,0.01,1.68,0.04
2.999,4803,84.4,181.4,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
3.099,4799,84.4,181.4,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.57,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.68,0.04
3.199,4759,84.4,181.4,11.7,10.5,530,100,100,100,0,0,1,0,0,0,0,0,42.95,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
3.299,4724,84.4,181.4,12,10.5,530,100,100,100,0,0,1,0,0,0,0,0,42.3,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
3.399,4678,84.4,181.4,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.52,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
3.499,4725,84.4,180,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.27,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
3.599,4725,84.4,181.4,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.92,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
3.7,4666,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.8,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.68,0.04
3.799,4684,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.84,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.68,0.04
3.899,4731,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.55,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
3.999,4718,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.84,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
4.099,4796,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.88,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
4.199,4699,84.4,181.6,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.52,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
4.299,4686,84.4,181.6,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.47,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
4.4,4711,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.09,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
4.499,4846,84.4,181.6,11.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
4.599,4715,84.4,181.6,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.22,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
4.699,4714,84.4,181.6,11.7,10.5,530,100,100,100,0,0,1,0,0,0,0,0,42.3,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
4.799,4820,84.4,181.6,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.34,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.23,0.01,0.01,0.01,0.01,1.68,0.04
4.899,4710,84.4,181.6,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.05,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
4.999,4688,84.4,181.6,11.8,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.45,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
5.099,4648,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.75,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.13,0.01,0.01,0.01,0.01,1.68,0.04
5.199,4660,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.88,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
5.299,4624,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.67,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
5.399,4642,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.15,0.01,0.01,0.01,0.01,1.68,0.04
5.499,4599,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.02,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
5.599,4628,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.92,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
5.699,4534,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.34,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.11,0.01,0.01,0.01,0.01,1.68,0.04
5.799,4603,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.65,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
5.899,4543,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.13,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.15,0.01,0.01,0.01,0.01,1.68,0.04
5.999,4534,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.05,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
6.099,4500,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.27,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.11,0.01,0.01,0.01,0.01,1.68,0.04
6.199,4568,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.88,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
6.299,4549,84.4,181.6,12.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.88,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
6.399,4487,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.47,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.12,0.01,0.01,0.01,0.01,1.68,0.04
6.499,4598,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.97,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
6.599,4518,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.17,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.11,0.01,0.01,0.01,0.01,1.68,0.04
6.699,4568,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.11,0.01,0.01,0.01,0.01,1.68,0.04
6.799,4571,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.77,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.13,0.01,0.01,0.01,0.01,1.67,0.04
6.899,4524,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.59,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.12,0.01,0.01,0.01,0.01,1.67,0.04
6.999,4622,84.4,181.6,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.3,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.15,0.01,0.01,0.01,0.01,1.67,0.04
7.099,4637,84.4,181.6,11.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.55,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
7.2,4719,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.63,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
7.299,4671,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.63,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
7.399,4588,84.4,181.6,12.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.95,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
7.499,4641,84.4,181.6,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.17,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
7.599,4720,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.09,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
7.699,4605,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
7.799,4635,84.4,181.6,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.4,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.12,0.01,0.01,0.01,0.01,1.68,0.04
7.9,4622,84.4,181.6,12.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.84,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.13,0.01,0.01,0.01,0.01,1.68,0.04
7.999,4558,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,40.25,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.11,0.01,0.01,0.01,0.01,1.68,0.04
8.099,4640,84.4,181.6,12.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.45,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
8.199,4739,84.4,181.6,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.82,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.21,0.01,0.01,0.01,0.01,1.68,0.04
8.299,4721,84.4,181.6,12,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.9,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
8.4,4767,84.4,181.6,11.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.75,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.25,0.01,0.01,0.01,0.01,1.68,0.04
8.499,4680,84.4,181.6,11.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.07,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
8.599,4651,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.38,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
8.699,4801,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.07,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
8.799,4690,84.4,181.6,11.3,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.05,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
8.899,4628,84.4,181.6,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.07,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
8.999,4574,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.14,0.01,0.01,0.01,0.01,1.68,0.04
9.099,4637,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.84,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
9.199,4623,84.4,181.6,12.2,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.57,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
9.299,4704,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.25,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
9.399,4765,84.4,181.6,11.8,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.09,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.18,0.01,0.01,0.01,0.01,1.68,0.04
9.499,4738,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.95,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.68,0.04
9.599,4750,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.2,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
9.699,4732,84.4,181.6,11,10.6,530,100,100,100,0,0,1,0,0,0,0,0,43.4,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.24,0.01,0.01,0.01,0.01,1.68,0.04
9.799,4747,84.4,181.6,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.88,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.67,0.04
9.899,4711,84.4,181.6,11.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.5,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.68,0.04
9.999,4678,84.4,181.6,11.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.55,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.67,0.04
10.1,4622,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.13,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.68,0.04
10.199,4618,84.4,181.6,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.27,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.15,0.01,0.01,0.01,0.01,1.68,0.04
10.299,4590,84.4,181.6,11.8,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.45,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.68,0.04
10.399,4659,84.4,181.6,11.9,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.67,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.68,0.04
10.499,4608,84.4,181.6,7.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.92,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.22,0.01,0.01,0.01,0.01,1.67,0.04
10.599,4651,84.4,181.6,10.7,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.3,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,2.19,0.01,0.01,0.01,0.01,1.65,0.04
