Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Map Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts)
2.099,4692,79,176.3,9.4,12.48,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,46.75,3.12,4.65,1.66,2.1,0,0,30.3,0,0,-1,0.01,2.37,3.96,0.01,0.01,4.76,1.7,2.15
2.199,4627,79,176.3,9.5,12.54,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,46.57,3.15,4.57,1.66,2.14,0,0,30.3,0,0,-1,0.01,2.36,4,0.01,0.01,4.68,1.7,2.19
2.299,4638,79,176.3,9.5,12.49,11.3,530,100,100,100,100,0,0,1,0,0,0,0,0,45.47,3.15,4.56,1.66,2.14,0,0,30.1,0,0,-1,0.01,2.32,3.99,0.01,0.01,4.67,1.7,2.19
2.399,4621,79,176.3,9.6,12.47,11.3,530,100,100,100,100,0,0,0,0,0,0,0,0,45.82,3.11,4.68,1.65,2.12,0,0,29.8,0,0,-1,0.01,2.33,3.95,0.01,0.01,4.79,1.69,2.18
2.5,4609,79,174.5,9.7,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,46.32,3.12,4.52,1.65,2.12,0,0,29.6,0,0,-1,0.01,2.35,3.96,0.01,0.01,4.62,1.69,2.17
2.599,4556,79,174.4,9.6,12.44,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,45.22,3.12,4.53,1.65,2.1,0,0,29.6,0,0,-1,0.01,2.31,3.96,0.01,0.01,4.64,1.69,2.15
2.699,4591,79,174.4,9.6,12.56,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,45.88,3.13,4.6,1.66,2.14,0,0,29.5,0,0,-1,0.01,2.34,3.98,0.01,0.01,4.71,1.7,2.19
2.8,4696,79,174.4,9.6,12.47,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.27,3.1,4.66,1.64,2.11,0,0,29.1,0,0,-1,0.01,2.39,3.94,0.01,0.01,4.77,1.68,2.16
2.899,4650,79,174.4,9.4,12.51,12,530,100,100,100,100,0,0,0,0,0,0,0,0,47.5,3.13,4.61,1.64,2.09,0,0,29.1,0,0,-1,0.01,2.4,3.98,0.01,0.01,4.72,1.68,2.15
2.999,4662,79,174.4,9.3,12.39,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.4,3.13,4.68,1.64,2.09,0,0,29,0,0,-1,0.01,2.4,3.97,0.01,0.01,4.79,1.68,2.15
3.099,4785,79,174.4,9.6,12.44,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,48.52,3.14,4.58,1.64,2.04,0,0,28.9,0,0,-1,0.01,2.44,3.99,0.01,0.01,4.69,1.68,2.09
3.199,4655,79,174.4,9.8,12.39,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,47.5,3.12,4.7,1.64,2.04,0,0,28.8,0,0,-1,0.01,2.4,3.95,0.01,0.01,4.81,1.68,2.09
3.299,4552,79,174.4,10.1,12.38,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,46.45,3.13,4.66,1.65,2.09,0,0,28.6,0,0,-1,0.01,2.36,3.98,0.01,0.01,4.78,1.69,2.14
3.399,4610,79,174.4,10.1,12.44,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,46.84,3.12,4.69,1.64,2.07,0,0,28.3,0,0,-1,0.01,2.37,3.96,0.01,0.01,4.8,1.68,2.12
3.499,4591,79,174.4,10.1,12.47,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,46.17,3.12,4.67,1.65,2.11,0,0,28.5,0,0,-1,0.01,2.35,3.96,0.01,0.01,4.79,1.69,2.16
3.599,4519,79,174.4,10,12.43,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,45.05,3.13,4.66,1.66,2.12,0,0,28.3,0,0,-1,0.01,2.3,3.97,0.01,0.01,4.77,1.7,2.18
3.699,4631,79,174.4,9.9,12.47,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,46.7,3.11,4.64,1.64,2.11,0,0,28.1,0,0,-1,0.01,2.37,3.95,0.01,0.01,4.75,1.68,2.16
3.799,4667,79,174.4,10.1,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.27,3.12,4.7,1.65,2.09,0,0,27.8,0,0,-1,0.01,2.39,3.96,0.01,0.01,4.81,1.69,2.14
3.899,4704,79,174.4,10,12.49,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.8,3.13,4.45,1.67,2.1,0,0,27.8,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.56,1.71,2.15
3.999,4661,77.2,174.4,10,12.39,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,48.15,3.11,4.6,1.67,2.09,0,0,27.6,0,0,-1,0.01,2.43,3.95,0.01,0.01,4.71,1.71,2.14
4.1,4710,79,174.4,10.1,12.38,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,48.67,3.11,4.6,1.65,2.06,0,0,27.4,0,0,-1,0.01,2.45,3.95,0.01,0.01,4.72,1.69,2.11
4.199,4689,77.2,174.4,9.7,12.42,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.05,3.11,4.51,1.66,2.07,0,0,27.4,0,0,-1,0.01,2.42,3.95,0.01,0.01,4.62,1.7,2.12
4.299,4614,77.2,174.3,10,12.47,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,45.9,3.13,4.56,1.65,2.13,0,0,27.4,0,0,-1,0.01,2.34,3.98,0.01,0.01,4.67,1.69,2.19
4.399,4679,77.2,172.6,9.4,12.47,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,46.92,3.13,4.5,1.65,2.06,0,0,27.1,0,0,-1,0.01,2.38,3.97,0.01,0.01,4.6,1.69,2.11
4.499,4676,77.2,172.6,9.9,12.42,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.27,3.1,4.58,1.65,2.09,0,0,27,0,0,-1,0.01,2.39,3.94,0.01,0.01,4.69,1.69,2.14
4.599,4667,77.2,172.6,9.9,12.48,12,530,100,100,100,100,0,0,1,0,0,0,0,0,47.72,3.14,4.56,1.65,2.12,0,0,27.1,0,0,-1,0.01,2.41,3.99,0.01,0.01,4.67,1.69,2.17
4.699,4763,77.2,172.6,9.9,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.57,3.13,4.63,1.66,2.06,0,0,26.8,0,0,-1,0.01,2.44,3.97,0.01,0.01,4.74,1.7,2.11
4.799,4719,77.2,172.6,10.1,12.42,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,47.55,3.15,4.66,1.66,2.05,0,0,26.6,0,0,-1,0.01,2.4,4,0.01,0.01,4.77,1.7,2.1
4.899,4748,77.2,172.6,10.1,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.4,3.12,4.65,1.66,2.01,0,0,26.6,0,0,-1,0.01,2.44,3.96,0.01,0.01,4.76,1.7,2.06
4.999,4731,77.2,172.6,10.1,12.44,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,48.05,3.14,4.57,1.65,2.04,0,0,26.3,0,0,-1,0.01,2.42,3.99,0.01,0.01,4.68,1.69,2.09
5.099,4674,77.2,172.6,10.1,12.35,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.45,3.13,4.6,1.66,2.01,0,0,26.1,0,0,-1,0.01,2.44,3.97,0.01,0.01,4.71,1.7,2.06
5.2,4664,77.2,172.6,10.3,12.39,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,46.97,3.16,4.68,1.66,2.08,0,0,26.1,0,0,-1,0.01,2.38,4.01,0.01,0.01,4.79,1.7,2.13
5.299,4655,77.2,172.6,10.1,12.38,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,47.02,3.12,4.7,1.64,2.07,0,0,25.6,0,0,-1,0.01,2.38,3.96,0.01,0.01,4.81,1.68,2.12
5.399,4707,77.2,172.6,10.2,12.42,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,48.22,3.13,4.7,1.64,2.05,0,0,25.6,0,0,-1,0.01,2.43,3.97,0.01,0.01,4.81,1.68,2.1
5.499,4740,77.2,172.6,10.2,12.38,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.72,3.13,4.62,1.64,2.01,0,0,25.6,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.73,1.68,2.05
5.599,4713,77.2,172.6,10,12.43,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.15,3.12,4.6,1.64,2.07,0,0,25.5,0,0,-1,0.01,2.39,3.96,0.01,0.01,4.71,1.68,2.12
5.699,4715,77.2,172.6,10.1,12.42,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.05,3.14,4.58,1.64,2.04,0,0,25.5,0,0,-1,0.01,2.42,3.99,0.01,0.01,4.69,1.68,2.09
5.799,4600,77.2,172.6,10.5,12.35,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,46.9,3.14,4.53,1.64,2.07,0,0,25.3,0,0,-1,0.01,2.38,3.99,0.01,0.01,4.64,1.68,2.12
5.899,4767,77.2,172.6,10.4,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.97,3.11,4.59,1.64,2.08,0,0,25.1,0,0,-1,0.01,2.42,3.95,0.01,0.01,4.7,1.68,2.13
5.999,4772,77.2,172.6,10.1,12.39,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.72,3.12,4.64,1.65,2.03,0,0,24.9,0,0,-1,0.01,2.45,3.96,0.01,0.01,4.75,1.69,2.08
6.099,4640,77.2,172.6,10.2,12.35,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.4,3.18,4.67,1.65,2.03,0,0,25,0,0,-1,0.01,2.4,4.04,0.01,0.01,4.78,1.69,2.08
6.199,4751,77.2,171,10.2,12.47,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.13,3.15,4.65,1.65,2.09,0,0,24.8,0,0,-1,0.01,2.43,3.99,0.01,0.01,4.76,1.69,2.15
6.299,4693,77.2,172.5,10.3,12.39,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,47.63,3.13,4.59,1.64,2.09,0,0,24.7,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.7,1.68,2.14
6.4,4707,77.2,170.8,10.4,12.44,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,47.17,3.13,4.58,1.65,2.14,0,0,24.5,0,0,-1,0.01,2.39,3.97,0.01,0.01,4.69,1.69,2.19
6.499,4658,77.2,170.8,10.1,12.47,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,46.95,3.13,4.66,1.66,2.14,0,0,24.5,0,0,-1,0.01,2.38,3.97,0.01,0.01,4.78,1.7,2.19
6.599,4587,77.2,170.8,10.3,12.38,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,47.17,3.15,4.72,1.66,2.1,0,0,24.4,0,0,-1,0.01,2.39,3.99,0.01,0.01,4.84,1.7,2.15
6.699,4570,77.2,170.8,10.3,12.44,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,47.5,3.13,4.72,1.65,2.11,0,0,24.1,0,0,-1,0.01,2.4,3.98,0.01,0.01,4.83,1.69,2.16
6.8,4596,77.2,170.8,10.3,12.44,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,47.77,3.13,4.61,1.65,2.08,0,0,23.8,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.72,1.69,2.13
6.899,4594,77.2,170.8,10.3,12.42,12,530,100,100,100,100,0,0,0,0,0,0,0,0,46.5,3.14,4.72,1.65,2.05,0,0,24.1,0,0,-1,0.01,2.36,3.98,0.01,0.01,4.84,1.69,2.1
6.999,4641,77.2,170.8,10.2,12.46,12,530,100,100,100,100,0,0,0,0,0,0,0,0,47.5,3.12,4.7,1.65,2.09,0,0,23.8,0,0,-1,0.01,2.4,3.96,0.01,0.01,4.81,1.69,2.14
7.1,4627,77.2,170.8,10.3,12.44,12,530,100,100,100,100,0,0,1,0,0,0,0,0,46.09,3.13,4.59,1.65,2.01,0,0,23.7,0,0,-1,0.01,2.34,3.97,0.01,0.01,4.7,1.69,2.06
7.199,4640,77.2,170.8,10.3,12.47,12,530,100,100,100,100,0,0,0,0,0,0,0,0,47.65,3.13,4.67,1.65,2.07,0,0,23.7,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.78,1.69,2.12
7.299,4766,77.2,170.8,10.1,12.42,12,530,100,100,100,100,0,0,1,0,0,0,0,0,47.97,3.12,4.58,1.65,2.06,0,0,23.5,0,0,-1,0.01,2.42,3.97,0.01,0.01,4.69,1.69,2.11
7.399,4701,77.2,170.8,10.2,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.84,3.13,4.51,1.65,2.09,0,0,23.3,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.62,1.69,2.14
7.499,4753,77.2,170.8,10.4,12.39,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.67,3.12,4.64,1.65,2.06,0,0,23.3,0,0,-1,0.01,2.41,3.96,0.01,0.01,4.76,1.69,2.11
7.599,4772,77.2,170.8,10.2,12.39,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,47.84,3.15,4.62,1.65,2.05,0,0,23.3,0,0,-1,0.01,2.41,3.99,0.01,0.01,4.73,1.69,2.1
7.699,4695,77.2,170.8,10.2,12.43,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,49.07,3.13,4.49,1.65,2.14,0,0,23.3,0,0,-1,0.01,2.46,3.97,0.01,0.01,4.6,1.69,2.19
7.799,4669,77.2,170.8,10.2,12.42,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,47.88,3.1,4.58,1.66,2.02,0,0,23,0,0,-1,0.01,2.42,3.93,0.01,0.01,4.69,1.7,2.07
7.899,4652,77.2,170.8,10.2,12.44,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.5,3.17,4.51,1.66,2.02,0,0,22.8,0,0,-1,0.01,2.4,4.02,0.01,0.01,4.62,1.7,2.07
7.999,4679,77.2,170.8,10.1,12.38,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,49.75,3.12,4.68,1.66,2.06,0,0,23,0,0,-1,0.01,2.49,3.95,0.01,0.01,4.8,1.7,2.11
8.099,4680,77.2,170.8,10.2,12.3,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,49.07,3.11,4.63,1.66,2.04,0,0,22.6,0,0,-1,0.01,2.46,3.94,0.01,0.01,4.74,1.7,2.09
8.2,4617,77.2,170.8,10.5,12.35,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.42,3.16,4.6,1.66,2.08,0,0,22.8,0,0,-1,0.01,2.4,4.01,0.01,0.01,4.71,1.7,2.13
8.299,4713,77.2,170.8,10.3,12.41,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,48.15,3.09,4.5,1.67,2.08,0,0,22.5,0,0,-1,0.01,2.43,3.92,0.01,0.01,4.61,1.71,2.13
8.399,4744,77.2,170.8,10.2,12.35,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,48.13,3.11,4.55,1.67,2.06,0,0,22.3,0,0,-1,0.01,2.43,3.95,0.01,0.01,4.66,1.71,2.11
8.499,4774,77.2,170.8,9,12.3,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,50.02,3.16,4.6,1.67,1.99,0,0,22.5,0,0,-1,0.01,2.5,4.01,0.01,0.01,4.72,1.71,2.04
8.599,4694,77.2,170.8,9.9,12.41,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.59,3.1,4.58,1.66,2.05,0,0,22.3,0,0,-1,0.01,2.44,3.94,0.01,0.01,4.69,1.7,2.1
8.699,4737,77.2,170.8,9.9,12.44,12,530,100,100,100,100,0,0,0,0,0,0,0,0,47.52,3.15,4.46,1.66,1.88,0,0,22.1,0,0,-1,0.01,2.4,4,0.01,0.01,4.57,1.7,1.92
8.799,4739,77.2,170.8,10,12.38,12,530,100,100,100,100,0,0,1,0,0,0,0,0,48.32,3.16,4.57,1.66,1.98,0,0,22.1,0,0,-1,0.01,2.43,4.01,0.01,0.01,4.68,1.7,2.03
8.9,4711,77.2,169.1,10.1,12.41,12,530,100,100,100,100,0,0,0,0,0,0,0,0,48.57,3.11,4.44,1.65,1.99,0,0,21.8,0,0,-1,0.01,2.44,3.95,0.01,0.01,4.55,1.69,2.04
8.999,4721,77.2,169.1,10.2,12.42,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,47.65,3.13,4.56,1.65,1.97,0,0,21.8,0,0,-1,0.01,2.41,3.97,0.01,0.01,4.67,1.69,2.01
9.099,4688,77.2,169.1,10.2,12.39,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,48.25,3.14,4.56,1.65,1.95,0,0,21.7,0,0,-1,0.01,2.43,3.98,0.01,0.01,4.67,1.69,2
9.199,4729,77.2,169,10.1,12.37,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,49.55,3.12,4.57,1.65,2,0,0,21.6,0,0,-1,0.01,2.48,3.96,0.01,0.01,4.68,1.69,2.05
9.299,4714,77.2,169,10.3,12.38,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,50,3.13,4.58,1.66,2.02,0,0,21.3,0,0,-1,0.01,2.5,3.97,0.01,0.01,4.69,1.7,2.07
9.399,4719,77.2,169,10.3,12.38,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,49.47,3.13,4.63,1.65,1.98,0,0,21.4,0,0,-1,0.01,2.48,3.97,0.01,0.01,4.74,1.69,2.03
9.499,4830,77.2,169,9.6,12.29,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,49.5,3.12,4.59,1.65,1.99,0,0,21.1,0,0,-1,0.01,2.48,3.97,0.01,0.01,4.7,1.69,2.04
9.599,5161,77.2,169,5.3,12.08,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,55.3,3.14,4.63,1.66,2.07,0,0,20.7,0,0,-1,0.01,2.71,3.99,0.01,0.01,4.74,1.7,2.12
9.7,5929,77.2,169,0,11.48,12,530,100,100,100,100,0,0,1,0,0,0,0,0,62.84,3.14,4.54,1.65,2,0,0,20.3,0,0,-1,0.01,3.01,3.99,0.01,0.01,4.65,1.69,2.05
9.799,6202,77.2,169,0,10.96,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,68.57,3.12,4.6,1.66,2.12,0,0,21.3,0,0,-1,0.01,3.24,3.96,0.01,0.01,4.71,1.7,2.17
9.899,5384,77.2,169,0,11.24,12,530,100,100,100,100,0,0,0,0,0,0,0,0,59.15,3.09,4.59,1.65,2.05,0,0,21.3,0,0,-1,0.01,2.87,3.92,0.01,0.01,4.7,1.69,2.1
9.999,5332,77.2,169,0,11.37,11.9,530,100,100,100,100,0,0,0,0,0,0,0,0,58.22,3.13,4.64,1.66,2.06,0,0,21,0,0,-1,0.01,2.83,3.97,0.01,0.01,4.75,1.7,2.11
10.099,5328,77.2,169,0,11.66,12,530,100,100,100,100,0,0,0,0,0,0,0,0,56.97,3.15,4.69,1.65,2.08,0,0,19.9,0,0,-1,0.01,2.78,4,0.01,0.01,4.8,1.69,2.13
10.199,5296,77.2,169,42.1,14.09,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,58.27,3.17,4.46,1.65,1.99,0,0,20.2,0,0,-1,0.01,2.83,4.02,0.01,0.01,4.57,1.69,2.04
10.299,5349,77.2,169,97.8,14.14,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,58.4,3.12,4.61,1.64,1.98,0,0,19.7,0,0,-1,0.01,2.84,3.96,0.01,0.01,4.72,1.68,2.03
10.399,6326,77.2,169,98.4,14.1,11.9,530,100,100,100,100,0,0,1,0,0,0,0,0,68.34,3.13,4.34,1.64,1.95,0,0,19.5,0,0,-1,0.01,3.23,3.97,0.01,0.01,4.44,1.68,2
10.499,5807,77.2,169,98.1,14.19,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,66.07,3.07,4.32,1.65,2.11,0,0,21.8,0,0,-1,0.01,3.14,3.89,0.01,0.01,4.42,1.69,2.16
10.599,5904,77.2,169,99.9,14.16,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,63.59,3.04,4.45,1.65,2.07,0,0,21.6,0,0,-1,0.01,3.04,3.86,0.01,0.01,4.55,1.69,2.12
10.699,6058,77.2,169,97.6,14.16,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,64.27,3.13,4.5,1.64,2.03,0,0,23,0,0,-1,0.01,3.07,3.97,0.01,0.01,4.61,1.68,2.08
10.799,6420,77.2,169,97.8,14.09,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,64.42,3.14,4.51,1.65,2.07,0,0,23.5,0,0,-1,0.01,3.08,3.98,0.01,0.01,4.62,1.69,2.12
10.899,6723,77.2,169,98,14,11.8,530,100,100,100,100,0,0,0,0,0,0,0,0,68.8,3.05,4.3,1.66,2.07,0,0,26.1,0,0,-1,0.01,3.25,3.88,0.01,0.01,4.4,1.7,2.12
11,7379,77.2,169,97.8,13.9,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,72.27,3.11,4.26,1.67,2.07,0,0,27.3,0,0,-1,0.01,3.39,3.94,0.01,0.01,4.37,1.71,2.12
11.099,7827,77.2,169,97.5,13.71,11.8,530,100,100,100,100,0,0,1,0,0,0,0,0,73.45,3.1,4.23,1.67,2.03,0,0,29.6,0,0,-1,0.01,3.44,3.93,0.01,0.01,4.33,1.71,2.08
