Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Map Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts),
1.001,4234,77.2,165.4,2.2,11.90,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,46.90,3.13,4.73,1.66,2.11,0.0,0.0,23.3,0.0,0.00,-1.00,0.01,2.38,3.97,0.01,0.01,4.84,1.70,2.16,
1.100,3663,77.2,165.4,8.2,12.37,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,37.45,3.12,4.73,1.66,2.14,0.0,0.0,23.2,0.0,0.00,-1.00,0.01,2.00,3.96,0.01,0.01,4.84,1.70,2.19,
1.203,4157,77.2,165.4,4.0,12.65,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,40.65,3.13,4.75,1.65,2.14,0.0,0.0,23.1,0.0,0.00,-1.00,0.01,2.13,3.97,0.01,0.01,4.86,1.69,2.19,
1.300,4751,77.2,165.4,7.1,12.65,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,50.47,3.12,4.56,1.65,2.06,0.0,0.0,23.0,0.0,0.00,-1.00,0.01,2.52,3.97,0.01,0.01,4.67,1.69,2.11,
1.401,5384,77.2,165.4,0.0,12.35,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,58.77,3.12,4.33,1.65,2.06,0.0,0.0,22.8,0.0,0.00,-1.00,0.01,2.85,3.96,0.01,0.01,4.43,1.69,2.11,
1.500,6050,77.2,165.4,0.0,11.40,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,70.17,3.16,4.54,1.66,2.03,0.0,0.0,22.9,0.0,0.00,-1.00,0.01,3.31,4.01,0.01,0.01,4.65,1.70,2.08,
1.600,5212,77.2,165.4,0.0,11.18,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,63.50,3.10,4.51,1.66,2.08,0.0,0.0,22.8,0.0,0.00,-1.00,0.01,3.04,3.93,0.01,0.01,4.62,1.70,2.13,
1.701,4459,77.2,165.4,0.6,11.75,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,50.70,3.13,4.68,1.67,2.14,0.0,0.0,22.6,0.0,0.00,-1.00,0.01,2.53,3.97,0.01,0.01,4.79,1.71,2.19,
1.800,3835,77.2,165.4,7.2,12.18,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,39.97,3.14,4.76,1.66,2.14,0.0,0.0,22.5,0.0,0.00,-1.00,0.01,2.10,3.99,0.01,0.01,4.87,1.70,2.19,
1.900,3535,77.2,165.4,5.5,12.82,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,34.47,3.10,4.66,1.67,2.14,0.0,0.0,22.2,0.0,0.00,-1.00,0.01,1.88,3.94,0.01,0.01,4.77,1.71,2.19,
2.000,4376,77.2,165.4,7.7,12.68,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,44.92,3.12,4.75,1.67,2.11,0.0,0.0,22.4,0.0,0.00,-1.00,0.01,2.30,3.97,0.01,0.01,4.86,1.71,2.16,
2.100,4995,77.2,165.4,5.4,12.57,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,54.47,3.10,4.43,1.67,2.09,0.0,0.0,22.3,0.0,0.00,-1.00,0.01,2.68,3.93,0.01,0.01,4.54,1.71,2.15,
2.200,5854,77.2,165.3,0.0,11.97,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,66.27,3.08,4.54,1.68,2.10,0.0,0.0,22.0,0.0,0.00,-1.00,0.01,3.15,3.91,0.01,0.01,4.64,1.72,2.15,
2.300,5482,77.2,165.4,0.0,11.21,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,65.80,3.14,4.64,1.68,2.08,0.0,0.0,22.3,0.0,0.00,-1.00,0.01,3.13,3.98,0.01,0.01,4.75,1.72,2.13,
2.400,4752,77.2,163.7,0.4,11.54,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,54.59,3.12,4.66,1.68,2.12,0.0,0.0,22.1,0.0,0.00,-1.00,0.01,2.68,3.96,0.01,0.01,4.77,1.72,2.18,
2.500,4061,77.2,163.6,3.8,12.07,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,43.63,3.10,4.71,1.66,2.13,0.0,0.0,21.9,0.0,0.00,-1.00,0.01,2.25,3.94,0.01,0.01,4.82,1.70,2.18,
2.600,3440,77.2,163.6,7.6,12.59,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,34.15,3.16,4.75,1.68,2.14,0.0,0.0,21.5,0.0,0.00,-1.00,0.01,1.87,4.00,0.01,0.01,4.86,1.72,2.19,
2.700,4131,77.2,163.6,5.7,12.76,12.50,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,40.42,3.10,4.76,1.67,2.14,0.0,0.0,21.6,0.0,0.00,-1.00,0.01,2.12,3.94,0.01,0.01,4.87,1.71,2.19,
2.800,4802,77.2,163.6,6.8,12.58,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,51.15,3.13,4.57,1.66,2.06,0.0,0.0,21.3,0.0,0.00,-1.00,0.01,2.55,3.97,0.01,0.01,4.68,1.70,2.11,
2.900,5572,77.2,163.6,0.0,12.20,12.50,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,60.63,3.13,4.53,1.65,2.00,0.0,0.0,21.4,0.0,0.00,-1.00,0.01,2.93,3.97,0.01,0.01,4.64,1.69,2.05,
3.001,5456,77.2,163.6,0.0,11.37,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,66.47,3.12,4.53,1.65,2.09,0.0,0.0,21.2,0.0,0.00,-1.00,0.01,3.16,3.96,0.01,0.01,4.64,1.69,2.15,
3.100,4727,77.2,163.6,0.0,11.64,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,54.82,3.13,4.55,1.67,2.14,0.0,0.0,21.2,0.0,0.00,-1.00,0.01,2.69,3.97,0.01,0.01,4.66,1.71,2.19,
3.200,4027,77.2,163.6,5.8,12.08,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,44.00,3.14,4.78,1.67,2.14,0.0,0.0,21.1,0.0,0.00,-1.00,0.01,2.26,3.98,0.01,0.01,4.89,1.71,2.19,
3.300,3859,77.2,163.6,7.5,12.55,12.50,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,38.92,3.11,4.79,1.67,2.14,0.0,0.0,21.0,0.0,0.00,-1.00,0.01,2.06,3.94,0.01,0.01,4.90,1.71,2.19,
3.401,4597,77.2,163.6,8.6,12.65,12.50,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,47.65,3.11,4.71,1.65,2.13,0.0,0.0,20.6,0.0,0.00,-1.00,0.01,2.41,3.94,0.01,0.01,4.83,1.69,2.18,
3.500,5058,77.2,163.6,6.0,12.48,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,56.17,3.14,4.56,1.65,1.98,0.0,0.0,20.6,0.0,0.00,-1.00,0.01,2.75,3.99,0.01,0.01,4.67,1.69,2.02,
3.600,5961,77.2,163.6,0.0,11.81,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,67.70,3.10,4.46,1.66,2.07,0.0,0.0,20.5,0.0,0.00,-1.00,0.01,3.21,3.94,0.01,0.01,4.57,1.70,2.12,
3.701,5434,77.2,163.6,0.0,11.19,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,66.42,3.14,4.47,1.67,2.07,0.0,0.0,20.5,0.0,0.00,-1.00,0.01,3.16,3.98,0.01,0.01,4.58,1.71,2.12,
3.800,4691,77.2,163.6,0.0,11.62,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,54.30,3.13,4.55,1.66,2.14,0.0,0.0,20.5,0.0,0.00,-1.00,0.01,2.67,3.97,0.01,0.01,4.66,1.70,2.19,
3.900,3987,77.2,163.6,3.1,12.06,12.50,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,42.84,3.10,4.79,1.67,2.14,0.0,0.0,20.1,0.0,0.00,-1.00,0.01,2.21,3.93,0.01,0.01,4.91,1.71,2.19,
4.000,3353,77.2,163.6,5.0,12.62,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,33.63,3.11,4.71,1.68,2.14,0.0,0.0,20.1,0.0,0.00,-1.00,0.01,1.85,3.95,0.01,0.01,4.82,1.72,2.19,
4.100,3888,77.2,163.6,4.8,12.87,12.40,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,37.02,3.14,4.78,1.68,2.14,0.0,0.0,19.8,0.0,0.00,-1.00,0.01,1.98,3.99,0.01,0.01,4.90,1.72,2.19,
4.200,4575,77.2,163.6,6.3,12.75,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,46.90,3.11,4.62,1.68,2.13,0.0,0.0,19.8,0.0,0.00,-1.00,0.01,2.38,3.95,0.01,0.01,4.73,1.72,2.18,
4.300,5252,75.5,163.6,0.0,12.38,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,57.63,3.11,4.36,1.67,2.03,0.0,0.0,19.7,0.0,0.00,-1.00,0.01,2.81,3.95,0.01,0.01,4.46,1.71,2.08,
4.400,5751,77.2,163.6,0.0,11.55,12.40,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,67.97,3.13,4.30,1.69,2.04,0.0,0.0,19.6,0.0,0.00,-1.00,0.01,3.22,3.98,0.01,0.01,4.40,1.73,2.09,
4.500,5008,77.1,163.6,0.0,11.39,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,60.20,3.11,4.42,1.68,2.02,0.0,0.0,19.5,0.0,0.00,-1.00,0.01,2.91,3.95,0.01,0.01,4.52,1.72,2.07,
4.600,4341,75.4,163.6,0.6,11.92,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,47.97,3.13,4.73,1.68,2.13,0.0,0.0,19.4,0.0,0.00,-1.00,0.01,2.42,3.97,0.01,0.01,4.85,1.73,2.19,
4.700,3607,75.4,163.6,7.2,12.28,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,37.70,3.12,4.77,1.69,2.14,0.0,0.0,19.1,0.0,0.00,-1.00,0.01,2.01,3.96,0.01,0.01,4.89,1.73,2.19,
4.800,3986,75.4,163.6,5.2,12.85,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,38.45,3.12,4.79,1.68,2.14,0.0,0.0,19.0,0.0,0.00,-1.00,0.01,2.04,3.96,0.01,0.01,4.90,1.72,2.19,
4.900,4656,75.4,163.6,6.4,12.63,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,48.47,3.17,4.69,1.66,2.02,0.0,0.0,18.9,0.0,0.00,-1.00,0.01,2.44,4.02,0.01,0.01,4.80,1.70,2.07,
5.000,5473,75.4,163.6,0.0,12.25,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,59.88,3.15,4.52,1.66,2.08,0.0,0.0,18.7,0.0,0.00,-1.00,0.01,2.90,4.00,0.01,0.01,4.63,1.70,2.13,
5.101,5854,75.4,163.6,0.0,11.32,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.88,3.10,4.61,1.66,2.06,0.0,0.0,18.6,0.0,0.00,-1.00,0.01,3.26,3.94,0.01,0.01,4.72,1.70,2.11,
5.201,5068,75.4,163.6,0.0,11.28,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,60.90,3.12,4.39,1.67,2.03,0.0,0.0,18.5,0.0,0.00,-1.00,0.01,2.94,3.96,0.01,0.01,4.49,1.71,2.08,
5.300,4405,75.4,163.6,0.0,11.83,12.30,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,48.95,3.12,4.75,1.68,2.14,0.0,0.0,18.3,0.0,0.00,-1.00,0.01,2.46,3.96,0.01,0.01,4.87,1.72,2.19,
5.400,3658,75.4,163.6,6.4,12.24,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,38.47,3.11,4.78,1.67,2.14,0.0,0.0,18.3,0.0,0.00,-1.00,0.01,2.04,3.95,0.01,0.01,4.90,1.71,2.19,
5.500,3201,75.4,163.6,3.9,12.95,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,30.67,3.12,4.78,1.67,2.14,0.0,0.0,18.1,0.0,0.00,-1.00,0.01,1.73,3.96,0.01,0.01,4.90,1.71,2.19,
5.600,3904,75.4,163.6,5.8,12.88,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,38.55,3.14,4.77,1.67,2.14,0.0,0.0,18.1,0.0,0.00,-1.00,0.01,2.04,3.98,0.01,0.01,4.89,1.71,2.19,
5.700,4725,75.4,163.6,6.4,12.73,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,49.80,3.13,4.65,1.67,2.09,0.0,0.0,17.9,0.0,0.00,-1.00,0.01,2.49,3.97,0.01,0.01,4.76,1.71,2.14,
5.800,5289,75.4,163.6,0.0,12.38,12.30,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,58.27,3.14,4.46,1.66,2.03,0.0,0.0,17.9,0.0,0.00,-1.00,0.01,2.83,3.98,0.01,0.01,4.57,1.70,2.08,
5.900,5696,75.4,163.6,0.0,11.52,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,68.07,3.13,4.39,1.67,1.93,0.0,0.0,17.6,0.0,0.00,-1.00,0.01,3.22,3.97,0.01,0.01,4.50,1.71,1.98,
6.002,4911,75.4,163.6,0.0,11.51,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,57.42,3.13,4.45,1.65,2.01,0.0,0.0,17.5,0.0,0.00,-1.00,0.01,2.80,3.98,0.01,0.01,4.55,1.69,2.06,
6.100,4238,75.4,163.6,2.3,11.98,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,46.82,3.14,4.79,1.65,2.14,0.0,0.0,17.4,0.0,0.00,-1.00,0.01,2.37,3.98,0.01,0.01,4.90,1.69,2.19,
6.200,3732,75.4,163.6,7.7,12.47,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,37.92,3.12,4.76,1.65,2.14,0.0,0.0,17.4,0.0,0.00,-1.00,0.01,2.02,3.96,0.01,0.01,4.88,1.69,2.19,
6.300,4359,75.4,163.6,7.6,12.66,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,45.22,3.10,4.75,1.65,2.08,0.0,0.0,17.2,0.0,0.00,-1.00,0.01,2.31,3.93,0.01,0.01,4.87,1.69,2.13,
6.400,4891,75.4,163.6,6.8,12.50,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,53.38,3.14,4.59,1.65,2.06,0.0,0.0,17.1,0.0,0.00,-1.00,0.01,2.64,3.99,0.01,0.01,4.70,1.69,2.11,
6.500,5596,75.4,163.6,0.0,12.12,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,63.27,3.13,4.49,1.67,2.02,0.0,0.0,17.1,0.0,0.00,-1.00,0.01,3.03,3.98,0.01,0.01,4.59,1.71,2.07,
6.600,5746,75.4,163.6,0.0,11.20,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,69.88,3.10,4.54,1.67,2.09,0.0,0.0,16.8,0.0,0.00,-1.00,0.01,3.30,3.94,0.01,0.01,4.65,1.71,2.15,
6.700,4960,75.4,163.6,0.0,11.31,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.34,3.15,4.51,1.66,2.12,0.0,0.0,16.6,0.0,0.00,-1.00,0.01,2.87,3.99,0.01,0.01,4.62,1.70,2.17,
6.800,4295,75.4,163.6,0.0,11.87,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,47.50,3.12,4.78,1.66,2.14,0.0,0.0,16.5,0.0,0.00,-1.00,0.01,2.40,3.96,0.01,0.01,4.90,1.70,2.19,
6.901,3540,75.4,163.6,6.7,12.30,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,36.97,3.10,4.72,1.67,2.14,0.0,0.0,16.4,0.0,0.00,-1.00,0.01,1.98,3.94,0.01,0.01,4.84,1.71,2.19,
7.000,3258,75.4,163.6,1.5,13.00,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,31.45,3.12,4.73,1.66,2.14,0.0,0.0,16.4,0.0,0.00,-1.00,0.01,1.76,3.96,0.01,0.01,4.84,1.70,2.19,
7.100,3770,75.4,163.6,3.8,12.78,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,37.75,3.13,4.72,1.66,2.14,0.0,0.0,16.2,0.0,0.00,-1.00,0.01,2.01,3.97,0.01,0.01,4.83,1.70,2.19,
7.201,4126,75.4,163.6,4.6,12.78,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,39.75,3.12,4.76,1.68,2.14,0.0,0.0,16.2,0.0,0.00,-1.00,0.01,2.09,3.95,0.01,0.01,4.87,1.72,2.19,
7.300,4734,75.4,163.6,5.1,12.70,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,50.25,3.12,4.64,1.67,2.13,0.0,0.0,15.9,0.0,0.00,-1.00,0.01,2.51,3.95,0.01,0.01,4.75,1.72,2.18,
7.400,5475,75.4,163.6,0.0,12.35,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,60.42,3.11,4.36,1.67,2.02,0.0,0.0,15.9,0.0,0.00,-1.00,0.01,2.92,3.94,0.01,0.01,4.47,1.72,2.07,
7.500,5795,75.4,163.6,0.0,11.35,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,69.50,3.12,4.43,1.66,2.00,0.0,0.0,15.8,0.0,0.00,-1.00,0.01,3.28,3.96,0.01,0.01,4.54,1.70,2.04,
7.600,5021,75.4,163.6,0.0,11.34,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,59.07,3.13,4.60,1.64,2.12,0.0,0.0,15.8,0.0,0.00,-1.00,0.01,2.86,3.97,0.01,0.01,4.71,1.68,2.17,
7.700,4271,75.4,163.6,0.1,11.89,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,47.84,3.13,4.79,1.63,2.12,0.0,0.0,15.4,0.0,0.00,-1.00,0.01,2.41,3.97,0.01,0.01,4.90,1.67,2.18,
7.800,3908,75.4,163.6,6.4,12.44,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,41.05,3.15,4.79,1.63,2.14,0.0,0.0,14.6,0.0,0.00,-1.00,0.01,2.14,4.00,0.01,0.01,4.91,1.67,2.19,
7.900,4365,75.4,163.6,4.6,12.62,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,45.88,3.14,4.77,1.63,2.12,0.0,0.0,13.9,0.0,0.00,-1.00,0.01,2.34,3.99,0.01,0.01,4.88,1.67,2.17,
8.000,5059,75.4,163.6,2.0,12.47,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,57.25,3.13,4.54,1.63,1.94,0.0,0.0,13.4,0.0,0.00,-1.00,0.01,2.79,3.98,0.01,0.01,4.65,1.67,1.98,
8.100,5903,75.4,163.6,0.0,11.77,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,68.07,3.14,4.52,1.63,2.08,0.0,0.0,13.0,0.0,0.00,-1.00,0.01,3.22,3.98,0.01,0.01,4.63,1.67,2.13,
8.200,5321,75.4,163.6,0.0,11.25,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,63.15,3.13,4.62,1.63,2.12,0.0,0.0,12.4,0.0,0.00,-1.00,0.01,3.03,3.97,0.01,0.01,4.73,1.67,2.17,
8.300,4570,75.4,163.6,0.0,11.67,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,50.88,3.15,4.72,1.64,2.12,0.0,0.0,12.3,0.0,0.00,-1.00,0.01,2.54,4.00,0.01,0.01,4.83,1.68,2.17,
8.400,3883,75.4,163.6,5.2,12.11,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,40.65,3.14,4.74,1.63,2.14,0.0,0.0,11.8,0.0,0.00,-1.00,0.01,2.13,3.98,0.01,0.01,4.86,1.67,2.19,
8.500,3450,75.4,163.6,6.1,12.64,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,33.38,3.03,4.81,1.64,2.14,0.0,0.0,11.1,0.0,0.00,-1.00,0.01,1.84,3.84,0.01,0.01,4.93,1.68,2.19,
8.600,4103,75.4,163.6,4.9,12.75,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,40.70,3.15,4.74,1.65,2.14,0.0,0.0,10.4,0.0,0.00,-1.00,0.01,2.13,3.99,0.01,0.01,4.86,1.69,2.19,
8.700,4772,75.4,163.6,5.8,12.70,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,47.55,3.15,4.65,1.65,2.13,0.0,0.0,10.0,0.0,0.00,-1.00,0.01,2.40,3.99,0.01,0.01,4.76,1.69,2.18,
8.800,5599,75.4,163.6,0.0,12.22,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,57.27,3.13,4.38,1.66,2.04,0.0,0.0,9.4,0.0,0.00,-1.00,0.01,2.79,3.97,0.01,0.01,4.48,1.70,2.09,
8.901,5775,75.4,163.6,0.0,11.29,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,62.59,3.14,4.44,1.62,2.06,0.0,0.0,8.8,0.0,0.00,-1.00,0.01,3.00,3.98,0.01,0.01,4.54,1.66,2.11,
9.000,5061,75.4,163.6,0.0,11.34,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,53.90,3.14,4.59,1.62,2.06,0.0,0.0,8.6,0.0,0.00,-1.00,0.01,2.66,3.98,0.01,0.01,4.70,1.66,2.11,
9.100,4275,75.4,163.6,2.6,11.87,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,43.05,3.13,4.75,1.59,2.14,0.0,0.0,8.6,0.0,0.00,-1.00,0.01,2.22,3.97,0.01,0.01,4.87,1.63,2.19,
9.200,3760,75.4,163.6,2.6,12.38,12.20,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,35.70,3.13,4.76,1.57,2.14,0.0,0.0,8.4,0.0,0.00,-1.00,0.01,1.93,3.97,0.01,0.01,4.87,1.60,2.19,
9.300,4420,75.4,163.6,4.8,12.62,12.20,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,41.15,3.15,4.79,1.56,2.14,0.0,0.0,8.4,0.0,0.00,-1.00,0.01,2.15,4.00,0.01,0.01,4.90,1.60,2.19,
